model,category,AURN,CNEMC,CPCB,EEA_DE,EEA_FR,EPA,SINAICA
TimesFM-2.5,TSFM,0.5529,0.6532,0.5784,0.5576,0.4158,0.1901,0.3384
Moirai-2,TSFM,0.5579,0.6563,0.5781,0.5653,0.4266,0.1891,0.3421
VisionTS++,TSFM,0.5593,0.6535,0.5766,0.5656,0.4277,0.2286,0.3393
TiRex,TSFM,0.5618,0.6595,0.5858,0.5651,0.431,0.2114,0.3631
Chronos-2,TSFM,0.58,0.6638,0.5859,0.5734,0.4378,0.2175,0.3841
Moirai-1,TSFM,0.5806,0.684,0.6232,0.5934,0.4376,0.2112,0.3568
PatchTST,ML Baseline,0.5574,0.6542,0.6311,0.5905,0.4538,0.1646,0.4458
TimesFM-2.0,TSFM,0.5689,0.6756,0.6113,0.5891,0.4357,0.2436,0.4036
Chronos-Hex,TSFM,0.5814,0.6741,0.62,0.5795,0.4418,0.2366,0.5299
TimesFM-1.0,TSFM,0.5865,0.7029,0.6427,0.6045,0.4516,0.2625,0.4948
DeepAR,ML Baseline,0.5768,0.6919,0.6513,0.6267,0.4412,0.1337,0.7175
Sundial,TSFM,0.6424,0.738,0.6729,0.6562,0.5411,0.3689,0.4844
DLinear,ML Baseline,0.6269,0.6966,0.7226,0.6545,0.5261,0.2733,0.6206
LightGBM,ML Baseline,0.6061,0.7077,0.7922,0.6825,0.5073,0.2832,0.6349
Kairos,TSFM,0.6646,0.8731,0.8671,0.7346,0.5709,0.3455,0.6206
AutoETS,Statistical Baseline,0.8073,0.8232,0.822,0.7943,0.7962,0.7274,0.7496
Seasonal Naive,Statistical Baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0
